,Unnamed: 0,companies,companies_list
3577,3577,utique-enterprises-APPL,utique enterprises
3578,3578,uttam-galva-steels-UTTM,uttam galva steels
3579,3579,uttam-sugar-mills-UTSM,uttam sugar mills
3580,3580,v-b-desai-financial-services-VBD,v b desai financial services
3581,3581,v-guard-industries-VGUA,v guard industries
3582,3582,v-i-p-industries-VIPI,v i p industries
3583,3583,v-l-s-finance-VLSF,v l s finance
3584,3584,v-marc-india-VMA,v marc india
3585,3585,v-mart-retail-VMAR,v mart retail
3586,3586,v2-retail-VREL,v2 retail
3587,3587,vama-industries-VAMA,vama industries
3588,3588,v-b-industries-VBI,v b industries
3589,3589,vbc-ferro-alloys-VBC,vbc ferro alloys
3590,3590,vck-capital-market-services-VCK,vck capital market services
3591,3591,vcu-data-management-VCU,vcu data management
3592,3592,vertex-securities-VERT,vertex securities
3593,3593,veto-switch-gears-and-cables-VETO,veto switch gears and cables
3594,3594,vip-clothing-VIPC,vip clothing
3595,3595,vjtf-eduservices-VJT,vjtf eduservices
3596,3596,vkj-infradevelopers-VKJ,vkj infradevelopers
3597,3597,vms-industries-VMS,vms industries
3598,3598,v-r-films-and-studios-VRF,v r films and studios
3599,3599,v-r-woodart-VRW,v r woodart
3600,3600,vrl-logistics-VRLL,vrl logistics
3601,3601,vsf-projects-VSF,vsf projects
3602,3602,vst-industries-VSTI,vst industries
3603,3603,vst-tillers-tractors-VST,vst tillers tractors
3604,3604,vtm-VTM,vtm
3605,3605,vxl-instruments-VXL,vxl instruments
3606,3606,va-tech-wabag-VATE,va tech wabag
3607,3607,vaarad-ventures-VAA,vaarad ventures
3608,3608,vadilal-enterprises-VADI,vadilal enterprises
3609,3609,vadilal-industries-VDLI,vadilal industries
3610,3610,vadivarhe-speciality-chemicals-VADV,vadivarhe speciality chemicals
3611,3611,vaghani-techno-build-VAG,vaghani techno build
3612,3612,vaibhav-global-VAIB,vaibhav global
3613,3613,vaidya-sane-ayurved-laboratories-MADHA,vaidya sane ayurved laboratories
3614,3614,vaishali-pharma-VAIH,vaishali pharma
3615,3615,vakrangee-VAKR,vakrangee
3616,3616,vaksons-automobiles-VAV,vaksons automobiles
3617,3617,valencia-nutrition-VAL,valencia nutrition
3618,3618,valiant-communications-VALIA,valiant communications
3619,3619,valiant-organics-VALI,valiant organics
3620,3620,vallabh-steels-VALLB,vallabh steels
3621,3621,valley-magnesite-company-VALL,valley magnesite company
3622,3622,valson-industries-VALS,valson industries
3623,3623,vamshi-rubber-VAM,vamshi rubber
3624,3624,vandana-knitwear-VAND,vandana knitwear
3625,3625,vani-commercial-VANI,vani commercial
3626,3626,vanta-bioscience-VAN,vanta bioscience
3627,3627,vantage-knowledge-academy-VKA,vantage knowledge academy
3628,3628,vapi-paper-mills-VAP,vapi paper mills
3629,3629,varanium-cloud-CLO,varanium cloud
3630,3630,vardhan-capital-and-finance-VARDA,vardhan capital and finance
3631,3631,vardhman-acrylics-VARD,vardhman acrylics
3632,3632,vardhman-concrete-VARDH,vardhman concrete
3633,3633,vardhman-holdings-VRDM,vardhman holdings
3634,3634,vardhman-polytex-VARP,vardhman polytex
3635,3635,vardhman-special-steels-VARM,vardhman special steels
3636,3636,vardhman-textiles-VART,vardhman textiles
3637,3637,variman-global-enterprises-VAR,variman global enterprises
3638,3638,varroc-engineering-VARE,varroc engineering
3639,3639,varun-beverages-VARB,varun beverages
3640,3640,varun-mercantile-VARU,varun mercantile
3641,3641,vas-infrastructure-VAS,vas infrastructure
3642,3642,vasa-denticity-DENT,vasa denticity
3643,3643,vasa-retail-and-overseas-VASA,vasa retail and overseas
3644,3644,vascon-engineers-VASC,vascon engineers
3645,3645,vasundhara-rasayans-VRL,vasundhara rasayans
3646,3646,vaswani-industries-VASW,vaswani industries
3647,3647,vax-housing-finance-corporation-VAX,vax housing finance corporation
3648,3648,ellora-trading-ELL,ellora trading
3649,3649,vaxtex-cotfab-VATX,vaxtex cotfab
3650,3650,vedant-asset-VEDA,vedant asset
3651,3651,vedant-fashions-MANY,vedant fashions
3652,3652,vedanta-VDAN,vedanta
3653,3653,vedavaag-systems-VED,vedavaag systems
3654,3654,veejay-lakshmi-engineering-works-VJL,veejay lakshmi engineering works
3655,3655,veekayem-fashion-and-apparels-VEEK,veekayem fashion and apparels
3656,3656,veer-energy-and-infrastructure-VEE,veer energy and infrastructure
3657,3657,veer-global-infraconstruction-VGI,veer global infraconstruction
3658,3658,veeram-securities-VSL,veeram securities
3659,3659,veerhealth-care-NIYA,veerhealth care
3660,3660,veerkrupa-jewellers-VEER,veerkrupa jewellers
3661,3661,velan-hotels-VELH,velan hotels
3662,3662,veljan-denison-VEL,veljan denison
3663,3663,velox-industries-ZKH,velox industries
3664,3664,vels-film-international-VELS,vels film international
3665,3665,venkys-india-VENK,venkys india
3666,3666,venlon-enterprises-VENL,venlon enterprises
3667,3667,ventura-guaranty-SHYAM,ventura guaranty
3668,3668,ventura-textiles-VENT,ventura textiles
3669,3669,venus-pipes-and-tubes-VENUS,venus pipes and tubes
3670,3670,venus-remedies-VENR,venus remedies
3671,3671,vera-synthetic-VERA,vera synthetic
3672,3672,veranda-learning-solutions-VERAN,veranda learning solutions
3673,3673,veritas-india-VER,veritas india
3674,3674,vertexplus-technologies-VERTE,vertexplus technologies
3675,3675,vertoz-advertising-VERZ,vertoz advertising
3676,3676,vesuvius-india-VESU,vesuvius india
3677,3677,viaan-industries-VIA,viaan industries
3678,3678,viaz-tyres-VIAZ,viaz tyres
3679,3679,vibrant-global-capital-VGC,vibrant global capital
3680,3680,viceroy-hotels-VICE,viceroy hotels
3681,3681,videocon-industries-VEDI,videocon industries
3682,3682,vidhi-specialty-food-ingredients-VIDH,vidhi specialty food ingredients
3683,3683,vidli-restaurants-VID,vidli restaurants
